"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment","Flow"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",175,0.702039031184584,2.41645096693884,1e-10,5e-09,3.36842105263158e-09,1442,"tags=54%, list=12%, signal=49%","OAT/NDUFB5/SLC25A6/NDUFA4/SLC25A5/ECH1/COX11/MDH2/ATP1B1/UQCRH/LDHB/UQCRC2/PRDX3/NDUFS8/CYB5A/NDUFB2/UQCRB/COX4I1/NDUFS7/ETFB/ATP6V1G1/SUCLG1/COX8A/IDH1/COX7A2/NDUFV1/TIMM13/CYCS/COX5B/COX7B/COX7A2L/MDH1/NDUFA1/SLC25A4/PDK4/SLC25A3/UQCRQ/NDUFS6/NDUFA3/HADHA/UQCRC1/ACADM/UQCRFS1/BAX/DECR1/SDHD/NDUFB7/MGST3/ATP6AP1/NDUFB1/TOMM22/ECHS1/NDUFS3/SDHA/NDUFAB1/NDUFA8/NDUFA5/SLC25A11/DLD/PHB2/COX6A1/ACO2/ACAT1/COX5A/FH/BDH2/NDUFC2/MRPS15/ACADSB/NDUFC1/NDUFA6/GRPEL1/ACAA2/SDHC/MRPS12/HSD17B10/OXA1L/IDH3G/COX7C/COX6C/NDUFA2/IDH3B/POLR2F/TIMM9/NDUFS2/ALDH6A1/SURF1/SDHB/NDUFA9/TIMM10/NDUFB4/SUCLA2/HADHB/PDHA1/PDHB","P1: C0->G1"
"HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION",128,-0.575490457015921,-1.95510761848452,8.80258270225277e-07,2.20064567556319e-05,1.48254024458994e-05,1427,"tags=34%, list=12%, signal=31%","CDH1/MSN/FSCN1/NF1/TAOK2/CRB3/DHX16/MYL12B/INPPL1/TIAL1/BMP1/GNAI2/HRAS/VASP/DLG1/AKT2/TSC1/PIK3CB/AMIGO2/MYH9/STX4/PKD1/PTK2/CAP1/ADAM9/PCDH1/ITGB1/ITGA2/SYMPK/MPZL2/ACTN4/RRAS/GRB7/ADAM15/LAMA3/LAMC2/CTNND1/ITGA3/CLDN4/COL17A1/RHOF/JUP/ITGB4/LAMB3","P1: C0->G1"
"HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM",128,0.58305326149001,1.93615889744954,1.07942509550448e-05,0.000179904182584081,0.000121198607214539,1465,"tags=41%, list=12%, signal=36%","ADH1C/CA2/ERP29/ECH1/MDH2/GLUL/ECI2/OSTC/SUCLG1/HSD17B11/IDH1/PRDX6/MDH1/UBE2L6/GRHPR/ACADM/DECR1/SDHD/SUCLG2/ECHS1/PSME1/SDHA/EPHX1/DLD/ACO2/FH/HIBCH/ACSM3/ADSL/ALDH9A1/NBN/HADH/ACAA2/SDHC/UROS/PTS/HSD17B10/APEX1/ACSL1/HSD17B4/IDH3G/PCBD1/IDH3B/UGDH/HSDL2/UROD/DHCR24/SUCLA2/HADHB/PDHA1/PDHB/CBR1","P1: C0->G1"
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",190,-0.484024202319466,-1.72251732559297,1.89528901920076e-05,0.000236911127400095,0.000159603285827432,2775,"tags=40%, list=23%, signal=31%","RFC1/BRCA2/TUBD1/RAB3GAP1/KNTC1/ALS2/KIF3B/BIRC5/RABGAP1/SUN2/LMNB1/ARFGEF1/CYTH2/FSCN1/NF1/CEP72/TAOK2/ITSN1/PLK1/MAP1S/PXN/ARL8A/MARCKS/PRC1/CDC42BPA/HDAC6/KIF5B/ARF6/NUMA1/KIF20B/CD2AP/ROCK1/ARHGEF12/MYO1E/TUBGCP6/TUBA4A/ABI1/RASA2/ARHGDIA/MID1IP1/DLG1/TOP2A/RICTOR/TSC1/AKAP13/MYH9/KLC1/CSNK1D/ARHGAP29/FGD6/TUBGCP2/SMC4/ARHGAP5/PDLIM5/FGD4/RALBP1/WASF2/ABR/STK38L/ACTN4/FLNA/MYO9B/NCK1/SHROOM1/ARHGEF2/ATG4B/CENPF/DYNC1H1/ARHGAP27/GSN/DST/RHOT2/CTTN/MAP3K11/FLNB/RHOF","P1: C0->G1"
"HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS",161,0.533669114158255,1.82061928835615,3.80139741596568e-05,0.000380139741596568,0.000256094141707161,1698,"tags=39%, list=14%, signal=34%","ECH1/MDH2/PGM1/PRDX3/CAT/ETFB/SUCLG1/COX8A/IDH1/COX7B/ARL4A/G3BP2/UQCRQ/DNAJB9/GHITM/UQCRC1/ACADM/PDCD4/DDT/DECR1/JAGN1/NDUFB7/MGST3/MTCH2/TALDO1/ECHS1/NDUFS3/CMPK1/CMBL/NDUFAB1/NDUFA5/QDPR/DLD/TOB1/DRAM2/COX6A1/ACO2/SAMM50/SCP2/HIBCH/REEP5/DHRS7/HADH/YWHAG/GRPEL1/ACAA2/ALDH2/SDHC/SOD1/IDH3G/TST/ELOVL6/SDHB/DHCR7/COQ5/ATP1B3/PPP1R15B/CD302/ABCA1/LPCAT3/RTN3/FAH/IMMT","P1: C0->G1"
"HALLMARK_P53_PATHWAY","HALLMARK_P53_PATHWAY","HALLMARK_P53_PATHWAY",160,-0.487209507187161,-1.70916420465657,0.000112701422526476,0.000939178521053965,0.000632709740499513,1410,"tags=25%, list=12%, signal=22%","HRAS/PHLDA3/ERCC5/UPP1/FOXO3/RAB40C/IFI30/ST14/CCNK/NUPR1/LIF/NOL8/SERTAD3/KIF13B/DGKA/HBEGF/VAMP8/RAD9A/FAM162A/RALGDS/IP6K2/TSC22D1/PTPRE/PRMT2/MXD1/RHBDF2/SDC1/PLK3/EPS8L2/KRT17/SERPINB5/PERP/CDKN1A/SFN/S100A10/PLXNB2/TXNIP/ITGB4/NDRG1/S100A4","P1: C0->G1"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",172,0.470987918863219,1.62034448512137,0.000878268644617672,0.0062733474615548,0.00422625513199482,1729,"tags=36%, list=14%, signal=31%","PABPC1/PRDX4/IMPDH2/EEF1B2/PRDX3/KPNA2/EIF3D/NPM1/PSMC4/ILF2/CCT7/HNRNPA1/HSPD1/SLC25A3/CLNS1A/CCT3/CDK4/RSL1D1/FBL/CCT5/SERBP1/EIF4G2/GLO1/EIF1AX/NHP2/PSMB3/NDUFAB1/XRCC6/CNBP/TUFM/PHB2/SNRPD2/HDDC2/USP1/PSMA1/GSPT1/COX5A/COPS5/GNL3/MRPS18B/ETF1/SMARCC1/APEX1/EXOSC7/CCT2/BUB3/VBP1/PSMA7/HPRT1/HDAC2/NME1/SYNCRIP/PRPS2/CANX/SSB/UBE2E1/CCT4/NOLC1/VDAC3/YWHAE/HNRNPR/LSM2","P1: C0->G1"
"HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM",144,0.484291889749983,1.62551747690412,0.00172495883979361,0.0107809927487101,0.00726298458860468,1509,"tags=31%, list=12%, signal=27%","ADH1C/CA2/SERPINA6/TMEM176B/TMEM97/ECH1/CYB5A/DCXR/CAT/PYCR1/AHCY/IDH1/FBP1/PDK4/NQO1/COMT/DDT/ADH5/SERTAD1/EPHX1/ATP2A2/ACO2/TMBIM6/EPHA2/AKR1C3/DHRS7/ALDH9A1/GCH1/SSR3/ALDH2/GSTM4/PTS/PGRMC1/PSMB10/GSTO1/UGDH/ARG2/HPRT1/NDRG2/MAN1A1/CBR1/HSD17B2/NINJ1/SHMT2","P1: C0->G1"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",41,0.660104618762841,1.89276226559258,0.00221802907105054,0.0123223837280586,0.00830139535363946,1673,"tags=46%, list=14%, signal=40%","FTL/GLRX/PRDX4/PRDX2/CAT/PRDX6/NQO1/MGST1/HHEX/ATOX1/SOD2/PRNP/NDUFA6/SOD1/NDUFS2/EGLN2/NDUFB4/HMOX2/TXNRD2","P1: C0->G1"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",97,0.491943248496481,1.58670869374672,0.00508852661882987,0.0254426330941493,0.0171403001897427,1871,"tags=31%, list=15%, signal=26%","KDELR3/TUBB2A/EEF2/XBP1/MTHFD2/HERPUD1/EIF4A3/NPM1/SSR1/DNAJB9/CALR/LSM1/YIF1A/SRPRB/PDIA6/IMP3/NHP2/SEC11A/EIF4A2/ALDH18A1/SEC31A/EXOSC4/SLC30A5/WIPI1/SPCS1/SPCS3/NOLC1/SERP1/EIF2AK3/POP4","P1: C0->G1"
