"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment","Flow"
"KEGG_PARKINSONS_DISEASE","KEGG_PARKINSONS_DISEASE","KEGG_PARKINSONS_DISEASE",81,0.785407985622219,2.47025842438001,1e-10,1.75e-08,1.35789473684211e-08,1383,"tags=67%, list=11%, signal=59%","UBB/NDUFB5/SLC25A6/NDUFA4/SLC25A5/SNCA/UQCRH/UQCRC2/NDUFS8/NDUFB2/UQCRB/COX4I1/NDUFS7/NDUFB9/COX8A/COX7A2/NDUFV1/CYCS/COX5B/COX7B/COX7A2L/NDUFA1/SLC25A4/UBE2L6/UQCRQ/NDUFS6/NDUFA3/NDUFA10/UQCRC1/PARK7/UQCRFS1/SDHD/NDUFB7/NDUFB1/NDUFS3/UBE2J1/SDHA/NDUFAB1/NDUFA8/NDUFA5/COX6A1/COX5A/NDUFC2/NDUFB10/NDUFC1/NDUFA6/SDHC/COX7C/COX6C/NDUFA2/NDUFS2/SDHB/NDUFA9/NDUFB4","P1: C0->G1"
"KEGG_OXIDATIVE_PHOSPHORYLATION","KEGG_OXIDATIVE_PHOSPHORYLATION","KEGG_OXIDATIVE_PHOSPHORYLATION",82,0.739528569896672,2.33776223586749,4.21301640827448e-09,3.68638935724017e-07,2.86041640351268e-07,1447,"tags=63%, list=12%, signal=56%","NDUFB5/NDUFA4/COX11/UQCRH/UQCRC2/NDUFS8/NDUFB2/UQCRB/COX4I1/PPA2/NDUFS7/NDUFB9/ATP6V1G1/COX8A/COX7A2/NDUFV1/PPA1/COX5B/COX7B/COX7A2L/NDUFA1/UQCRQ/NDUFS6/NDUFA3/NDUFA11/NDUFA10/UQCRC1/UQCRFS1/SDHD/NDUFB7/ATP6AP1/NDUFB1/NDUFS3/SDHA/NDUFAB1/NDUFA8/NDUFA5/COX6A1/COX5A/NDUFC2/NDUFB10/NDUFC1/NDUFA6/SDHC/COX7C/COX6C/NDUFA2/NDUFS2/SDHB/NDUFA9/NDUFB4/ATP6V0E2","P1: C0->G1"
"KEGG_HUNTINGTONS_DISEASE","KEGG_HUNTINGTONS_DISEASE","KEGG_HUNTINGTONS_DISEASE",134,0.650949433496489,2.2102424985047,9.67477560471525e-09,4.86111550420222e-07,3.77193323333586e-07,1387,"tags=51%, list=11%, signal=46%","NDUFB5/SLC25A6/NDUFA4/SLC25A5/UQCRH/UQCRC2/NDUFS8/NDUFB2/UQCRB/POLR2L/COX4I1/NDUFS7/NDUFB9/COX8A/COX7A2/NDUFV1/GPX1/CYCS/COX5B/COX7B/COX7A2L/NDUFA1/SLC25A4/UQCRQ/NDUFS6/NDUFA3/NDUFA10/UQCRC1/CREB3L4/UQCRFS1/CREB3L1/BAX/AP2M1/SDHD/NDUFB7/NDUFB1/GNAQ/CLTA/NDUFS3/SDHA/NDUFAB1/NDUFA8/NDUFA5/COX6A1/COX5A/CREB3/NDUFC2/SOD2/NDUFB10/NDUFC1/NDUFA6/SDHC/TBPL1/PPARGC1A/SOD1/COX7C/COX6C/NDUFA2/REST/DCTN2/POLR2F/PLCB4/NDUFS2/AP2S1/SDHB/NDUFA9/EP300/NDUFB4/HDAC2","P1: C0->G1"
"KEGG_ALZHEIMERS_DISEASE","KEGG_ALZHEIMERS_DISEASE","KEGG_ALZHEIMERS_DISEASE",117,0.673589014597324,2.24491774590545,1.11111211524622e-08,4.86111550420222e-07,3.77193323333586e-07,1383,"tags=49%, list=11%, signal=44%","NDUFB5/NDUFA4/SNCA/UQCRH/UQCRC2/NDUFS8/NDUFB2/UQCRB/COX4I1/NDUFS7/NDUFB9/COX8A/COX7A2/NDUFV1/CYCS/COX5B/COX7B/COX7A2L/NDUFA1/UQCRQ/NDUFS6/NDUFA3/APH1A/NDUFA10/UQCRC1/UQCRFS1/APP/SDHD/BAD/NDUFB7/NDUFB1/GNAQ/NDUFS3/PPP3CA/SDHA/NDUFAB1/NDUFA8/NDUFA5/ATP2A2/COX6A1/COX5A/NDUFC2/NDUFB10/NDUFC1/NDUFA6/SDHC/HSD17B10/PSENEN/COX7C/COX6C/NDUFA2/PLCB4/NDUFS2/CALM1/SDHB/NDUFA9/NDUFB4","P1: C0->G1"
"KEGG_FOCAL_ADHESION","KEGG_FOCAL_ADHESION","KEGG_FOCAL_ADHESION",124,-0.556666115062289,-1.88383165008434,1.18292103709044e-05,0.000414022362981654,0.000321256450072983,1575,"tags=31%, list=13%, signal=28%","PPP1CB/ROCK1/COL6A2/PDGFA/LAMB2/HRAS/MET/TLN1/VASP/AKT2/BIRC3/BIRC2/MAPK3/COL6A1/PIK3CB/PTK2/DIAPH1/CAPN2/ARHGAP5/ITGB1/ITGA2/ITGB8/ACTN4/FLNA/AKT1/VEGFA/CAV1/ERBB2/LAMA5/LAMA4/LAMA3/COL1A1/CAV2/LAMC2/RAC1/ITGA3/FLNB/ITGB4/LAMB3","P1: C0->G1"
"KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION",17,0.881710758909622,2.06016006295434,4.50191524695368e-05,0.00131305861369482,0.00101885450325794,223,"tags=41%, list=2%, signal=40%","PIGR/HLA-DRA/HLA-DPA1/HLA-DRB1/HLA-DMA/HLA-DPB1/CXCR4","P1: C0->G1"
"KEGG_CARDIAC_MUSCLE_CONTRACTION","KEGG_CARDIAC_MUSCLE_CONTRACTION","KEGG_CARDIAC_MUSCLE_CONTRACTION",40,0.735076059133586,2.04020559786065,9.81424503252336e-05,0.00245356125813084,0.00190381595367746,1175,"tags=48%, list=10%, signal=43%","ATP1B1/UQCRH/UQCRC2/UQCRB/COX4I1/COX8A/COX7A2/COX5B/COX7B/COX7A2L/ATP1A1/UQCRQ/UQCRC1/UQCRFS1/ATP2A2/COX6A1/COX5A/COX7C/COX6C","P1: C0->G1"
"KEGG_LEISHMANIA_INFECTION","KEGG_LEISHMANIA_INFECTION","KEGG_LEISHMANIA_INFECTION",39,0.706145685258433,1.95825794000249,0.000646987916602635,0.0132950642514571,0.0103161701560178,576,"tags=18%, list=5%, signal=17%","HLA-DRA/HLA-DPA1/HLA-DRB1/HLA-DMA/HLA-DPB1/CYBA/NFKB1","P1: C0->G1"
"KEGG_TYPE_I_DIABETES_MELLITUS","KEGG_TYPE_I_DIABETES_MELLITUS","KEGG_TYPE_I_DIABETES_MELLITUS",19,0.83489717877181,2.00474553630233,0.000683746161503508,0.0132950642514571,0.0103161701560178,893,"tags=47%, list=7%, signal=44%","HLA-DRA/HLA-DPA1/HLA-DRB1/HLA-DMA/HLA-DPB1/HSPD1/PTPRN2/HLA-C/ICA1","P1: C0->G1"
"KEGG_DRUG_METABOLISM_CYTOCHROME_P450","KEGG_DRUG_METABOLISM_CYTOCHROME_P450","KEGG_DRUG_METABOLISM_CYTOCHROME_P450",29,0.733246727149199,1.91807706773188,0.0010027615092236,0.0165204230879108,0.0128188546065594,1183,"tags=45%, list=10%, signal=41%","ADH1C/MGST2/GSTT1/GSTM3/MGST1/MGST3/GSTO2/ADH5/GSTP1/GSTK1/GSTM4/GSTA4/GSTO1","P1: C0->G1"
