"","Gene","Mode0_Mean","Mode1_Mean","Mode2_Mean","Mode3_Mean","Mode0_Percent","Mode1_Percent","Mode2_Percent","Mode3_Percent"
"CLU","CLU",0.199218022455792,0.15971491184684,0.536345724557241,-0.0392039400336808,0.75,0.705882352941177,0.928571428571429,0.4
"MUC6","MUC6",0.273489645494638,0.524435281629709,0.0017101061313566,-1.20652060227071,0.55,0.647058823529412,0.5,0.6
"LYZ","LYZ",-0.00069600813306417,0.73621929477553,-0.143339014781407,-0.376899747788202,0.55,0.764705882352941,0.5,0.6
"OLFM4","OLFM4",0.0975463880512034,0.348366175184332,-0.214901378385585,0.0514329733313156,0.35,0.588235294117647,0.571428571428571,0.4
"SERPINA1","SERPINA1",0.181536979768992,0.1382565511444,0.107181383431478,-0.543302321821349,0.65,0.588235294117647,0.428571428571429,0.4
"CD74","CD74",0.0616027400929228,0.258780677225181,0.428876374813802,-0.801924326587398,0.55,0.647058823529412,1,0.8
"RNASE1","RNASE1",0.0932238858292106,0.288682795366945,0.638338539803493,-1.1208670325643,0.55,0.529411764705882,0.857142857142857,1
"HLA-DRA","HLA-DRA",0.0523317794448015,0.167556001989678,0.0512248067663411,-0.313050429357166,0.55,0.647058823529412,1,0.6
"PIGR","PIGR",0.0244090878502916,0.3411388102254,-0.0311020519135448,-0.507817334737374,0.45,0.588235294117647,0.642857142857143,0.8
"HLA-DRB6","HLA-DRB6",0.00676131662053004,0.0963827743120348,-0.00120993618961053,-0.07926862052685,0.35,0.294117647058824,0.357142857142857,0.4
"ADH1C","ADH1C",-0.0254439265904625,0.270094558378674,-0.042256798311438,-0.170992739395693,0.6,0.705882352941177,0.5,0.6
"TMSB10","TMSB10",0.102143123541886,-0.225863427095637,-0.332124869842687,0.00768869763888381,0.5,0.588235294117647,0.857142857142857,0.6
"A4GNT","A4GNT",0.010280697672285,0.0882599147979097,0,-0.375981660752911,0.15,0.352941176470588,0,0.8
"HLA-DPA1","HLA-DPA1",0.0181082024738843,0.15051576885469,0.00655008960656963,-0.137164367674624,0.5,0.705882352941177,0.928571428571429,0.4
"AGR2","AGR2",0.0886722762489107,0.47939171966185,-0.242032715560524,-0.286583807200305,0.6,0.882352941176471,0.571428571428571,0.6
"FAM3D","FAM3D",0.203173051541421,0.349232266729594,-0.10508708677499,-0.563215083777419,0.6,0.705882352941177,0.714285714285714,0.8
"CA2","CA2",-0.0720945382976611,0.467854859619278,-0.135401524760963,0.107453748093194,0.65,0.823529411764706,0.642857142857143,0.6
"RP11-1143G9.4","RP11-1143G9.4",0.12475004600294,0.382401036374308,0.00461203473812455,0.0416501804331118,0.6,0.647058823529412,0.428571428571429,0.8
"BPIFB1","BPIFB1",0.0351517936731614,0.13543252594699,0.00029481981655955,-0.00785273830975112,0.65,0.705882352941177,0.428571428571429,0.4
"COLCA1","COLCA1",0.0410128387219356,0.174373873035075,-0.0490879511801607,-0.335985340239837,0.65,0.941176470588235,0.642857142857143,0.8
"HLA-DRB1","HLA-DRB1",0.0064565695337098,0.0450005820296455,-0.461708842415296,-0.0283802871069766,0.35,0.470588235294118,0.857142857142857,0.6
"MSMB","MSMB",0.298204917558083,0.277908559943121,0.00351613249950047,0.0185584712441394,0.75,0.705882352941177,0.5,0.6
"FAIM2","FAIM2",0.0355587310672041,0.189606551396644,0,-0.271352104587809,0.35,0.764705882352941,0,0.6
"CLDN2","CLDN2",-0.0581676359828029,0.0733010060506555,0.104882899278723,-0.145014423386325,0.75,0.588235294117647,0.571428571428571,0.6
"UBB","UBB",-0.0459677683237232,0.379611673712132,0.0516798248789012,0.0720597679553195,0.6,0.823529411764706,0.642857142857143,0.4
"FTL","FTL",0.385459948833439,0.311115281552106,0.273805967054787,-0.391566997247997,0.95,0.823529411764706,0.571428571428571,1
"FMOD","FMOD",0.100379440824802,0.0930549967106659,0.000938193403402219,-0.101171981589448,0.7,0.823529411764706,0.214285714285714,0.8
"GHRL","GHRL",0.0479127516653105,0.233268107985315,0.0049593267838715,0.960247389660351,0.25,0.352941176470588,0.642857142857143,0.8
"SCG5","SCG5",0.0504386652100828,0.217788309920169,0.00614240549258031,-0.179996846553652,0.45,0.647058823529412,0.642857142857143,0.6
"CLDN10","CLDN10",-0.0142824409545789,0.105887601880364,0,0.173142673401132,0.2,0.294117647058824,0,0.4
"SLC40A1","SLC40A1",0.0922129501471412,-0.112954745080808,0.0386503031950185,-0.206192008658444,0.7,0.647058823529412,0.571428571428571,0.4
"SNCA","SNCA",0.00475989308669501,0.0669042869786778,0.00156265369330707,-0.185444219463365,0.15,0.470588235294118,0.357142857142857,0.8
"CNN3","CNN3",0.0387971096192193,0.099995048882399,-0.00996648569112873,0.11872241794024,0.7,0.647058823529412,0.5,0.8
"CXCL3","CXCL3",0.0572930783668423,-0.0850058906073668,-0.0608531493778619,0.328535937062887,0.65,0.470588235294118,0.5,0.6
"AQP2","AQP2",0.0360701920839934,0.168355782510427,0,-0.421107701108757,0.25,0.588235294117647,0,0.8
"KIAA1324","KIAA1324",0.094448572191503,0.292508401309558,0.0146344619740926,-0.32257727747415,0.55,0.764705882352941,0.714285714285714,0.6
"RNA28S5","RNA28S5",-1.13476724620543,-0.596547564729907,0.933389795788665,-0.942769799822659,0.75,0.647058823529412,0.928571428571429,0.8
"TSPAN13","TSPAN13",-0.0374631607455804,0.315529961507134,0.381069549838624,-0.0802916940582608,0.6,0.823529411764706,0.928571428571429,0.6
"TMEM98","TMEM98",-0.0318925690905647,0.218160668593268,0.0514154158639705,-0.135467779090216,0.65,0.764705882352941,0.357142857142857,0.6
"CPVL","CPVL",0.0145824054523452,0.0491764589645223,0.0702320532780428,-0.012393006104316,0.75,0.764705882352941,0.714285714285714,0.4
"SLC12A2","SLC12A2",-0.0676701251965639,0.392796648552466,0.00127220509719219,0.00631190347574436,0.55,0.647058823529412,0.428571428571429,0.8
"S100A4","S100A4",0.0719501619045981,-0.432868065463339,-0.549878392683572,1.11110387755426,0.6,0.764705882352941,0.714285714285714,1
"DKK1","DKK1",0.0046340708597413,-0.156811778946331,-0.0215331195327004,0.0211753376851601,0.25,0.705882352941177,0.357142857142857,0.4
"RABAC1","RABAC1",0.136895881182647,0.116396195263212,-0.12487488813463,-0.0776637569705191,0.75,0.705882352941177,0.642857142857143,0.6
"NTRK2","NTRK2",0.0236772961736809,0.0862200732739696,-0.00509623800371986,-0.0983081419473079,0.35,0.529411764705882,0.428571428571429,0.4
"PABPC1","PABPC1",0.087577229839924,0.303969616495831,-0.0563861428634722,-0.233157847979199,0.65,0.941176470588235,0.785714285714286,0.8
"GOLM1","GOLM1",-0.134601624851672,-0.0324426297138202,0.201836025126312,-0.261644711442024,0.7,0.470588235294118,0.571428571428571,0.6
"CSTB","CSTB",-0.0111619215667474,-0.456640924549087,-0.570571156099023,0.646750666564612,0.45,0.882352941176471,0.928571428571429,1
"ANXA5","ANXA5",0.0717525274493569,0.159892785673268,-0.0376379914138689,0.207548138542508,0.7,0.705882352941177,0.571428571428571,0.6
"KDELR3","KDELR3",0.00491620074119269,0.262969762217168,-0.0433319158075486,0.202602962779921,0.45,0.764705882352941,0.642857142857143,0.8
"EGR3","EGR3",0.152342017327664,0.36423300427557,-0.0180389312453864,-0.99497346520941,0.6,0.823529411764706,0.357142857142857,1
"CXCL17","CXCL17",0.0755102120130845,-0.0863576701453404,0.187631099965683,0.063180294016994,0.5,0.470588235294118,0.714285714285714,0.4
"PLEKHB1","PLEKHB1",0.0793289173875611,0.138839770821297,4.04273090388538e-05,-0.305270682843027,0.55,0.823529411764706,0.571428571428571,0.8
"SPDEF","SPDEF",-0.0485141370577909,0.108804683263056,0.010975247507783,-0.254488689019881,0.45,0.764705882352941,0.5,0.8
"TMEM59","TMEM59",0.13347854083134,-0.214657579738083,-0.0537127565880516,0.0297821781509015,0.7,0.764705882352941,0.785714285714286,0.6
"FAM211A-AS1","FAM211A-AS1",0.161731649996409,0.212505538147313,-0.284517730106822,-0.169927238616792,0.8,0.882352941176471,0.857142857142857,0.6
"NDUFA4","NDUFA4",-0.0320570767802732,0.324798197225587,-0.211587858275978,0.408921847583508,0.55,0.882352941176471,0.785714285714286,1
"ZG16B","ZG16B",0.0813332987393504,-0.160855536778373,0.15651356830832,-0.402433525566451,0.65,0.647058823529412,1,0.6
"SERPINA6","SERPINA6",0.0347069412307657,0.197813026243688,-0.0391991076285681,0.307480462854339,0.4,0.588235294117647,0.785714285714286,0.6
"CUTA","CUTA",0.0179120390389384,0.193829959327237,-0.0382264200114212,-0.00845540678649468,0.45,0.705882352941177,0.5,0.6
"CD63","CD63",0.0150005322658847,-0.255441906743095,0.000717544967019846,0.003128245770983,0.45,0.705882352941177,0.428571428571429,0.6
"COMMD6","COMMD6",0.102381444407388,0.229071649265702,-0.147774855758995,0.194316486669085,0.65,0.823529411764706,0.857142857142857,0.8
"GAS5","GAS5",0.314960044105854,0.127636477395747,-0.145061309354847,-0.390453532306502,0.9,0.705882352941177,0.5,1
"CTGF","CTGF",0.206373618097839,-0.0604816471142132,0.323076279991709,-0.413942745377094,0.75,0.764705882352941,0.714285714285714,0.6
"OAT","OAT",-0.0825833613918554,0.163180078243551,0.126484393759916,-0.0641762518526662,0.65,0.764705882352941,0.928571428571429,0.6
"RAMP1","RAMP1",0.105521633403433,0.152666378242613,-0.257947382757602,-0.355854407829451,0.7,0.647058823529412,0.857142857142857,0.8
"GLRX","GLRX",0.125947896134453,0.0273737102363842,-0.000911379535107265,-0.117540608540371,0.7,0.529411764705882,0.428571428571429,0.8
"HLA-DMA","HLA-DMA",0.0344435677703764,0.0776790821313341,0.0248891788904145,-0.0820494362893593,0.55,0.470588235294118,0.571428571428571,0.4
"FKBP11","FKBP11",-0.0709617611487727,0.181159710232023,-0.00905456417575583,-0.149604390701942,0.65,0.823529411764706,0.571428571428571,0.6
"MLN","MLN",0.07152798056174,0.255709651064787,0.00217969146627257,0.96420381591814,0.05,0.235294117647059,0.214285714285714,0.8
"CPD","CPD",-0.0533775065733248,-0.0245156274133292,0.0444616250360297,-0.464254490748413,0.6,0.588235294117647,0.428571428571429,1
"SSR4","SSR4",0.201608780118896,0.130293183026597,0.133215507028875,0.043013183435814,0.85,0.705882352941177,0.642857142857143,0.6
"CXCL2","CXCL2",0.220208832501836,-0.29693537402039,0.264093363022955,-0.110354432128872,0.6,0.705882352941177,0.714285714285714,0.4
"GNB2L1","GNB2L1",0.115576510084442,0.270348994052018,-0.559066362131313,-0.195874755118499,0.7,0.941176470588235,1,0.8
"ATP5A1","ATP5A1",-0.0589623372864818,0.306869316059815,-0.0859122418812111,0.190207516019944,0.7,0.705882352941177,0.785714285714286,1
"SLC25A6","SLC25A6",0.0107426743561503,0.34530707766967,-0.308119671541516,-0.077897806873652,0.5,0.941176470588235,1,0.8
"ERP29","ERP29",0.0345528189949997,0.248249302023341,0.103249479775386,-0.014576451500291,0.65,0.764705882352941,0.714285714285714,0.6
"NFIA","NFIA",-0.0656989529865067,0.266196814322733,-0.035286449745939,-0.244673514886702,0.6,1,0.571428571428571,1
"ANXA4","ANXA4",0.11509629059579,0.376754146489444,0.00705087052196183,0.612388751377564,0.7,0.705882352941177,0.5,0.8
"EEF1D","EEF1D",-0.0346290694209274,0.378244815370948,-0.117056923026083,-0.11103535950996,0.65,0.941176470588235,0.714285714285714,0.8
"ERGIC3","ERGIC3",0.0193130323247796,0.0348199398887299,0.187630586320793,-0.12470332203343,0.55,0.529411764705882,0.714285714285714,0.6
"LGALS3BP","LGALS3BP",-0.105538041739774,-0.00695271792291467,0.430512824925056,0.0922417943651252,0.65,0.470588235294118,0.785714285714286,0.6
