baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AL627309.1	8.28422083435654	-0.374636644170464	0.677776653228615	-0.552743506855641	0.580439057290136	NA
AL669831.1	0.666710165374449	-0.0706632794897062	2.35139901184893	-0.0300515901952953	0.97602590870251	NA
AL645608.2	1.13929395882112	-0.432502685753676	1.89878850097825	-0.227778230977727	0.819818651032227	NA
SAMD11	394.670126011746	-0.326728858544622	0.616089048012112	-0.530327327841411	0.595885002484739	0.86272761110979
AL645608.1	16.1401304589962	-0.37009062002367	0.567217182589984	-0.652467223108069	0.514099810701856	NA
NOC2L	6478.41731687662	0.203568208854646	0.103566647070284	1.9655768977101	0.0493475048965434	0.26454168639661
KLHL17	674.922607606489	-0.179836118678333	0.162335259985187	-1.10780688492902	0.26794522603777	0.640791200598231
PLEKHN1	149.420828601996	-0.671289313829006	0.196867260899847	-3.40985753934229	0.000649968209551331	0.0114833914058429
C1orf170	33.8013798584411	-0.786624158439451	0.368163674127605	-2.13661535267819	0.0326292898646906	NA
HES4	823.605457176348	-0.0641468729353913	0.121215545286551	-0.529196752642159	0.596668969155362	0.86272761110979
ISG15	598.669916607201	-0.300715291732793	0.122475474853046	-2.4553102741068	0.0140763034628464	0.116542188371498
AGRN	11785.3986329124	0.0265115984879776	0.0978059142008074	0.27106334728947	0.786342311184363	0.937781877411148
RNF223	24.2794374263607	-0.233361250384586	0.486125237959718	-0.480043478845101	0.631196477067591	NA
C1orf159	642.037902504236	0.112596489834185	0.116331983634559	0.967889365558239	0.333099625960598	0.699779538830479
TTLL10	5.00948851971997	-0.6345820290664	0.859234959857232	-0.73854307461121	0.460184501836192	NA
TNFRSF18	31.8914663757037	-0.404562993825225	0.356111746093565	-1.13605630329006	0.255933001209684	NA
TNFRSF4	3.20458110161505	-0.81568949113959	1.15659616671124	-0.705250038532453	0.480654646366466	NA
SDF4	5759.46081716413	0.223603278557305	0.107213867182197	2.08558169231336	0.0370165311387944	0.221699522486281
B3GALT6	1113.21505754618	0.207991811723052	0.127270724335969	1.63424709655926	0.102206977102019	0.396058437534919
FAM132A	241.960297756044	-0.0163010799827689	0.170169032142686	-0.0957934577021067	0.923684613462233	0.979652036811031
UBE2J2	1906.50965132505	-0.0698994726804453	0.117714317503563	-0.593806039595224	0.552641849061319	0.84704505291157
SCNN1D	195.240434252727	-0.257346279619556	0.180832002173739	-1.42312354299049	0.154700344595699	0.495292394709345
ACAP3	940.150803189169	0.0983683332646577	0.110173960475896	0.892845576575047	0.371939875299079	0.729906941940527
PUSL1	484.821898459934	0.1022320804754	0.130381488027399	0.784099660328439	0.432981634724758	0.77270204587157
CPSF3L	2906.11593223566	0.0477255942527526	0.0949032130361167	0.5028870227459	0.615043705568993	0.869601978781544
GLTPD1	1200.69776983677	-0.00836152059717083	0.118312291157375	-0.0706733046530947	0.943657767497266	0.986508959308593
TAS1R3	45.4180106053244	0.0420202638886445	0.342912769503637	0.122539221707808	0.902471985599357	0.972948818851532
DVL1	5627.10293547751	0.140425177875121	0.130839728802593	1.07326099771263	0.283154029305383	0.6550432418338
MXRA8	3179.84868313512	-0.0290378267493838	0.139875632469564	-0.207597465239003	0.835543283696362	0.954462079122902
AURKAIP1	3748.66361305883	-0.0420991881324382	0.104129624710121	-0.404295974845152	0.685995085054025	0.899398620798462
CCNL2	4008.16689835546	-0.123968815932568	0.132210931086329	-0.937659351718967	0.34841949954293	0.711560089441724
RP4-758J18.2	632.201811955998	0.0868165327235553	0.130816969614088	0.66364885977458	0.506915077758757	0.824063299562641
MRPL20	1927.61944838483	-0.0925578637743849	0.113181340912678	-0.817783770964467	0.413480666543427	0.758644870777191
ANKRD65	18.7708554131319	-0.125305526392436	0.511584465917035	-0.244936143961724	0.806505875082102	NA
TMEM88B	49.8699123979327	0.0638537411466301	0.311515835439672	0.204977512801258	0.837589694177415	0.954948935559067
VWA1	6633.97510202801	0.406888290721966	0.309370337699833	1.31521429542075	0.188437892060012	0.541334896327269
ATAD3C	193.927378307763	0.274750716616042	0.200116500319623	1.37295383527702	0.169766698735231	0.51783510698264
ATAD3B	2168.77528000789	0.466883391801346	0.108797202837325	4.29131797165258	1.77615767026725e-05	0.000636629560029022
ATAD3A	1444.23673720842	0.307316869472327	0.133039088195159	2.30997426126008	0.02088957914358	0.15411191098389
TMEM240	10.6455982872069	0.144916820657258	0.586747891871393	0.246983112619384	0.804921293463965	NA
SSU72	2468.34855595345	0.177484126807109	0.101532577514542	1.74805103102685	0.080455191316407	0.351317852734577
AL645728.1	4.84527705250319	-0.545930141071366	0.874652290194066	-0.624168194826582	0.532517131950802	NA
C1orf233	219.567365142494	0.252525320653904	0.159995562699016	1.5783270260373	0.114490500201471	0.420460225992097
MIB2	873.175786825624	-0.00560073129429939	0.110282637826209	-0.0507852496521292	0.959496644781894	0.991096654215012
MMP23B	4.69373959503502	-0.247149283301464	0.888615698413705	-0.278128423504849	0.780913777389863	NA
CDK11B	1158.25588437812	0.244760828409973	0.121991931452705	2.00636899092677	0.0448168941948717	0.250061525899786
SLC35E2B	1943.08966382101	0.071127072871275	0.102242262951947	0.695671934654888	0.486634305413384	0.8103888588722
CDK11A	962.421051974904	0.0142804461299703	0.112964754485226	0.126415059237242	0.899403382234842	0.972379537184262
SLC35E2	195.150189995738	0.0759993354831876	0.165362323939277	0.459592812151668	0.645808519397279	0.882924027385418
NADK	1649.75432463382	0.0340114040735838	0.107809688050072	0.315476323962529	0.752400024691038	0.926126428501491
GNB1	11401.1992785839	0.0815581222964501	0.0959118509189334	0.850344576973962	0.395133539919847	0.745988719658517
CALML6	12.3426687308029	-0.523189138729799	0.572292747110928	-0.914198443665386	0.360612581797694	NA
TMEM52	23.0650914515007	-0.115133927739852	0.457605600712258	-0.251600783645671	0.801349652844362	NA
C1orf222	16.9107287226027	-0.477916860742616	0.494155767287468	-0.96713808151225	0.333475010540619	NA
GABRD	28.0279365032961	-0.580294419357581	0.427726476590295	-1.35669511035069	0.174878106775088	NA
PRKCZ	388.058705761823	-0.162394297752674	0.137909998498816	-1.17753824610526	0.238980741499538	0.606152082149145
C1orf86	1105.34583564355	-0.162153601005971	0.110651469579602	-1.4654446219471	0.142799650744194	0.475821833958556
AL590822.1	11.2944686103662	0.0393541472994979	0.582191388888848	0.0675965808676902	0.946106777247979	NA
SKI	2533.71072700355	0.441097724458008	0.125186142388859	3.52353476224109	0.000425831233572829	0.00814976420850794
MORN1	263.141293844579	0.225933779886876	0.145889090681462	1.54866809321737	0.121461527724884	0.435355488143746
AL589739.1	0.983109005109623	0.945598761955331	2.02678602991124	0.466550858354171	0.640821252632008	NA
RER1	3999.88843861321	0.0449602426763134	0.0911602319268508	0.493200178696239	0.621871151633942	0.872687272061654
PEX10	620.988314364955	0.091265828545661	0.149985938027396	0.608495901322368	0.542858623534716	0.841834388073756
PLCH2	2033.67935606817	-0.0789657993077517	0.131458397960125	-0.600690412579835	0.548046205910847	0.84382851300432
PANK4	880.292393546174	0.0802769721151975	0.113644984472771	0.706383765967528	0.479949513696788	0.807093911797609
HES5	2.49334902059793	-0.598131675732089	1.24517570089079	-0.480359257977961	0.630971959267981	NA
TNFRSF14	94.0598972767356	-0.158747713673922	0.228108855424639	-0.695929640164135	0.486472893950644	0.8103888588722
FAM213B	504.747951883504	-0.500042166214243	0.146632589335538	-3.41017074362645	0.000649222212692181	0.0114833914058429
MMEL1	8.4910310253096	-0.440087783710873	0.664320959266605	-0.662462590668102	0.507674802073368	NA
TTC34	17.564089535959	0.106878931389292	0.518190960092321	0.206253948101007	0.836592549155409	NA
ACTRT2	0.679987918375649	-2.9082533732557	2.61858404643392	-1.11062059559107	0.266731693820258	NA
PRDM16	285.094594409832	0.183387585153587	0.185380514641007	0.989249520148977	0.322541075358324	0.69140856599191
ARHGEF16	618.679994683179	-0.198433432975958	0.127659568539454	-1.55439529716593	0.120090154331539	0.432507661532999
MEGF6	1182.78884098618	-0.261744819968358	0.17831788673431	-1.46785510282741	0.142143585948107	0.473771282606438
TPRG1L	1843.32936496299	0.179465073527857	0.113967276652179	1.57470704573886	0.11532408075178	0.421660457212018
WRAP73	782.599659955628	0.018572242883239	0.112938020422064	0.164446329179776	0.869379794552773	0.963505396893279
TP73	179.897677036471	-0.193741644152694	0.188192554893759	-1.02948623159969	0.303251246420552	0.673384248866376
CCDC27	4.3201144451215	-0.0710025443348159	1.01907529774363	-0.0696735015479476	0.94445353321447	NA
SMIM1	72.3071537405116	0.114239360128188	0.342103398024684	0.333932257872356	0.738430677359973	0.919742496420127
LRRC47	1493.91253698013	0.0633887182799576	0.112345184409014	0.564231734661442	0.572596433118103	0.853759086165974
CEP104	923.225878891397	0.328595439776054	0.109893545284781	2.99012502439995	0.00278863281405173	0.0364179188911307
DFFB	216.420964608084	-0.174442470514652	0.165333297835244	-1.05509581432583	0.29138150617041	0.662820379882661
C1orf174	643.783019072601	0.0217178382187881	0.120034280035268	0.180930299347878	0.856422285884015	0.961624894545249
AJAP1	8.52479004533722	-0.552834107650074	0.663888409992474	-0.832721432290618	0.405001854223618	NA
NPHP4	695.994763034407	0.230523280541332	0.116264361989455	1.98275100466504	0.0473952492610017	0.258691713169321
KCNAB2	918.229043793956	-0.305451332971972	0.10686261286269	-2.85835546024364	0.00425843064274609	0.049408823264292
CHD5	3666.88675401083	0.375236237526614	0.116323437605021	3.22580079519948	0.00125620757041961	0.0195114159837574
RPL22	6083.00227819104	-0.095419240153289	0.127163702449075	-0.750365381909994	0.45303467456789	0.788000865519173
RNF207	846.152826602306	-0.323110721125619	0.180746055512853	-1.78765019357582	0.0738324620056062	0.334269082745164
ICMT	2811.59618021157	0.417769531972528	0.104364856689794	4.00297135667299	6.25518778152051e-05	0.00178399344008991
HES3	0.680910581204431	-2.90904912074932	2.40196583400445	-1.21111178167738	0.225852566589817	NA
GPR153	213.660131035397	-0.0873887676255691	0.199880593127102	-0.437204864456248	0.661962782239819	0.888466206913484
ACOT7	2361.43167075318	-0.0714720287337308	0.095539602843943	-0.74808798243044	0.454407090244612	0.788325904631066
HES2	771.782723894732	-0.484420173213557	0.155123457930254	-3.12280411793914	0.00179136927693584	0.025791384563904
ESPN	111.338483523517	-0.49720422563087	0.228010268951056	-2.18062207425227	0.0292113810430477	0.190481245972348
