P_si1_4-29	P_si1_4-30	P_si1_5-8	P_siNC_4-29	P_siNC_4-30	P_siNC_5-8
MIR1302-10	0	0	1	0	0	0
RP11-34P13.7	5	6	8	5	4	8
AL627309.1	8	6	8	14	7	7
RP11-34P13.9	1	1	0	0	0	0
AP006222.2	40	42	67	55	47	70
RP4-669L17.10	6	6	8	12	8	5
OR4F29	0	0	0	0	1	0
RP5-857K21.15	1	2	0	2	0	0
RP5-857K21.1	1	3	1	1	6	4
RP5-857K21.2	0	2	0	1	0	0
RP5-857K21.3	1	0	1	1	0	1
RP5-857K21.4	3	4	1	0	4	5
RP5-857K21.5	0	1	0	0	1	0
OR4F16	0	0	0	0	1	0
RP11-206L10.3	5	9	5	4	7	7
RP11-206L10.5	2	4	2	2	2	3
RP11-206L10.4	1	0	0	0	0	0
RP11-206L10.2	99	75	81	94	64	75
RP11-206L10.9	42	38	36	50	31	35
AL669831.1	0	1	1	0	1	1
FAM87B	12	5	13	7	4	9
LINC00115	24	22	16	22	26	20
FAM41C	3	4	4	0	7	3
AL645608.2	1	2	0	3	1	0
RP11-54O7.16	8	17	5	10	13	14
RP11-54O7.1	30	74	37	37	65	58
RP11-54O7.3	140	384	141	179	446	187
SAMD11	226	582	271	315	735	257
AL645608.1	14	16	13	9	34	11
NOC2L	7286	6737	7114	6813	5658	5461
KLHL17	542	795	601	644	866	620
PLEKHN1	132	100	119	214	177	156
C1orf170	21	31	24	50	51	27
RP11-54O7.17	60	55	60	68	60	34
HES4	720	889	852	784	885	829
RP11-54O7.11	2	5	1	6	9	3
ISG15	483	603	554	687	689	590
AGRN	11858	11426	12981	12269	10983	11445
RP11-54O7.18	101	98	114	134	101	121
RNF223	15	17	36	15	23	39
C1orf159	633	702	702	683	581	572
RP11-465B22.5	1	1	0	0	2	2
RP11-465B22.8	0	0	4	1	1	0
TTLL10-AS1	1	1	1	2	1	2
TTLL10	3	5	4	4	7	7
TNFRSF18	25	36	23	39	32	37
TNFRSF4	3	0	4	2	5	5
SDF4	6553	6294	6073	6117	4806	4901
B3GALT6	1215	1116	1306	1137	884	1049
FAM132A	227	298	211	246	268	210
RP5-902P8.12	24	25	25	24	36	20
UBE2J2	1857	1801	2015	2229	1694	1887
RP5-902P8.10	25	37	19	14	38	28
SCNN1D	168	219	157	203	241	188
ACAP3	902	1065	1003	874	941	881
PUSL1	532	508	491	532	454	407
CPSF3L	3013	3025	2974	3142	2709	2653
GLTPD1	1266	1153	1230	1387	1102	1097
TAS1R3	49	34	57	38	34	60
DVL1	6165	5257	6549	6075	4498	5347
MXRA8	2582	3921	3139	2907	3567	3056
AURKAIP1	3863	3681	3719	4321	3657	3352
CCNL2	3241	4794	3713	3933	4567	3912
RP4-758J18.2	671	752	566	622	641	560
MRPL20	1876	1977	1842	2313	1949	1670
