"Flow 
(Sample: Control cluster->Gemcitabine-treated cluster)",Sample,Source (Control cluster),Target (Gemcitabine-treated cluster),Probability of Flow in Control Cluster,Probability of Flow in Gemcitabine-treated Cluster,Percent of Flow in Control Sample,Percent of Flow in Gemcitabine-treated Sample,STC,RAC score,AAC score,Drug Response Type
P1: C0->G0,P1,P1_C0,P1_G0,0.777081748,0.573168937,0.477531437,0.39187343,0.016235046,0.820623313,0.214100622,Sensitivity
P1: C0->G1,P1,P1_C0,P1_G1,0.059318644,0.06950467,0.036452429,0.007745249,0.725753573,0.212475513,0.055434861,Acquired Resistance
P1: C0->G2,P1,P1_C0,P1_G2,0.066985918,0.136976418,0.041164114,0.010802186,0.142909589,0.262417557,0.068464741,Sensitivity
P1: C0->G3,P1,P1_C0,P1_G3,0.09661369,0.487560317,0.059370941,0.034772003,0.354295652,0.585673771,0.152802287,Acquired Resistance
P1: C1->G0,P1,P1_C1,P1_G0,0.93377554,0.099218243,0.26294916,0.067835137,0.518994305,0.257978145,0.067306498,Acquired Resistance
P1: C1->G3,P1,P1_C1,P1_G3,0.06622446,0.060014614,0.018648664,0.004280144,0.857054911,0.229514777,0.059880405,Acquired Resistance
P1: C2->G0,P1,P1_C2,P1_G0,0.135106986,0.096491079,0.007184764,0.065970585,0.147207696,9.182011023,2.395586676,Absolutely Intrinsic Resistance
P1: C2->G2,P1,P1_C2,P1_G2,0.806497936,0.797969534,0.042888216,0.062929193,0.020533153,1.467284017,0.3828144,Relatively Intrinsic Resistance
P1: C2->G3,P1,P1_C2,P1_G3,0.058395078,0.221833397,0.003105353,0.015820794,0.485268302,5.09468486,1.32920328,Acquired Resistance
P1: C3->G0,P1,P1_C3,P1_G0,0.104953197,0.104852383,0.002673801,0.071687177,0.631496045,26.81095734,6.994978769,Acquired Resistance
P1: C3->G1,P1,P1_C3,P1_G1,0.802720749,0.93049533,0.020450219,0.103689691,0.000693911,5.070346107,1.322853299,Absolutely Intrinsic Resistance
P1: C3->G3,P1,P1_C3,P1_G3,0.092326054,0.230591672,0.002352111,0.01644542,0.686311454,6.99177136,1.824153148,Acquired Resistance
P1: C4->G0,P1,P1_C4,P1_G0,0.158928274,0.126269359,0.004009568,0.086329882,0.640060494,21.53096781,5.617429502,Acquired Resistance
P1: C4->G2,P1,P1_C4,P1_G2,0.061924325,0.065054048,0.001562276,0.00513027,0.766735037,3.283843621,0.856754801,Acquired Resistance
P1: C4->G4,P1,P1_C4,P1_G4,0.779147401,1,0.019656947,0.054688839,0.001260644,2.782163508,0.725866459,Relatively Intrinsic Resistance
P2: C0->G0,P2,P2_C0,P2_G0,0.231924495,0.220717454,0.114316663,0.097976687,0.354648182,0.857063917,0.312914036,Acquired Resistance
P2: C0->G1,P2,P2_C0,P2_G1,0.639642286,0.469977804,0.315282661,0.138938715,0.191228348,0.440679847,0.160892212,Sensitivity
P2: C0->G2,P2,P2_C0,P2_G2,0.060307256,0.07798315,0.029725728,0.00901181,0.865870911,0.303165333,0.110685663,Acquired Resistance
P2: C0->G3,P2,P2_C0,P2_G3,0.068125963,0.111841786,0.033579605,0.006359698,0.906691083,0.189391688,0.069146905,Acquired Resistance
P2: C1->G0,P2,P2_C1,P2_G0,1,0.526963195,0.176940133,0.233919462,0.21003851,1.322026031,0.482671704,Relatively Intrinsic Resistance
P2: C2->G1,P2,P2_C2,P2_G1,0.746352479,0.123241603,0.080592829,0.036433699,0.434352792,0.452071232,0.165051207,Acquired Resistance
P2: C2->G3,P2,P2_C2,P2_G3,0.253647521,0.14757202,0.027389433,0.008391439,0.999983788,0.306375039,0.111857527,Acquired Resistance
P2: C3->G0,P2,P2_C3,P2_G0,0.128066204,0.148749409,0.01280662,0.066030004,0.659818313,5.155927305,1.882429059,Acquired Resistance
P2: C3->G1,P2,P2_C3,P2_G1,0.379413826,0.334851325,0.037941383,0.098991511,0.49639848,2.609064402,0.952569413,Acquired Resistance
P2: C3->G2,P2,P2_C3,P2_G2,0.382434824,0.563207305,0.038243482,0.065084794,0.458971755,1.701853231,0.621346614,Acquired Resistance
P2: C3->G4,P2,P2_C3,P2_G4,0.110085147,0.19184035,0.011008515,0.009970302,0.621299594,0.905690078,0.330667448,Acquired Resistance
P2: C4->G1,P2,P2_C4,P2_G1,0.233620835,0.071929268,0.020513049,0.021264323,0.869994726,1.036624224,0.378471504,Acquired Resistance
P2: C4->G3,P2,P2_C4,P2_G3,0.766379165,0.740586195,0.067291829,0.042112208,0.317637071,0.625814582,0.228484904,Acquired Resistance
P2: C5->G0,P2,P2_C5,P2_G0,0.171845818,0.103569941,0.003734122,0.045974795,0.784836327,12.31207639,4.49513909,Acquired Resistance
P2: C5->G2,P2,P2_C5,P2_G2,0.627815721,0.358809545,0.013642115,0.041464386,0.452060263,3.039439634,1.10969941,Acquired Resistance
P2: C5->G5,P2,P2_C5,P2_G5,0.200338461,1,0.004353253,0.036074595,0.818091586,8.286814103,3.025515829,Acquired Resistance
P2: C6->G4,P2,P2_C6,P2_G4,1,0.80815965,0.012638581,0.042001572,1.90225E-05,3.32328224,1.213330346,Absolutely Intrinsic Resistance
P3: C0->G0,P3,P3_C0,P3_G0,0.785795815,0.793429853,0.401268231,0.449061854,8.53307E-05,1.119106421,0.675604546,Relatively Intrinsic Resistance
P3: C0->G1,P3,P3_C0,P3_G1,0.214204185,0.180652632,0.109383803,0.045290858,0.488587035,0.414054518,0.249964713,Acquired Resistance
P3: C1->G0,P3,P3_C1,P3_G0,0.142654841,0.095446934,0.036653729,0.054020626,0.519250525,1.473809805,0.889738979,Acquired Resistance
P3: C1->G1,P3,P3_C1,P3_G1,0.857345159,0.477802028,0.220286232,0.119788256,0.002721692,0.543784578,0.32828275,Sensitivity
P3: C2->G1,P3,P3_C2,P3_G1,0.195651187,0.090584351,0.027661465,0.02271012,0.583388881,0.821002058,0.495638943,Acquired Resistance
P3: C2->G2,P3,P3_C2,P3_G2,0.804348813,1,0.113720071,0.155042413,0.005867339,1.363368941,0.82306583,Relatively Intrinsic Resistance
P3: C3->G0,P3,P3_C3,P3_G0,0.13002599,0.111123213,0.011835807,0.062893015,0.710153541,5.313792033,3.20793625,Acquired Resistance
P3: C3->G1,P3,P3_C3,P3_G1,0.341935758,0.25096099,0.031125205,0.062917647,0.498738432,2.021437214,1.220341646,Acquired Resistance
P3: C3->G3,P3,P3_C3,P3_G3,0.528038252,1,0.048065457,0.028275212,0.017162461,0.588264704,0.355135402,Sensitivity
P4: C0->G0,P4,P4_C0,P4_G0,0.515672628,0.376043631,0.193591385,0.229970365,0.733812856,1.187916314,0.576970954,Acquired Resistance
P4: C0->G1,P4,P4_C0,P4_G1,0.344627344,0.239819806,0.129378372,0.057487491,0.530065944,0.44433618,0.215814083,Acquired Resistance
P4: C0->G2,P4,P4_C0,P4_G2,0.139700028,0.180017751,0.052445526,0.013907509,0.97457008,0.265180078,0.128797964,Acquired Resistance
P4: C1->G0,P4,P4_C1,P4_G0,0.708685806,0.623956369,0.128709272,0.381581982,0.003571608,2.96468139,1.439945751,Absolutely Intrinsic Resistance
