"","Gene","Quiescence_avg_log2FC","Quiescence_Up_percent","Quiescence_Down_percent","Quiescence_wilcox","Quiescence_wilcox.adj","Type","Rank"
"GDF15","GDF15",0.742486216477437,0.9,0.1,0.0001678466796875,0.0264783073874081,"Up",13417
"FAM46A","FAM46A",0.435670556601517,0.9,0.1,0.00101661682128906,0.050675892032212,"None",13416
"PHLDA2","PHLDA2",0.421831975670111,0.9,0.1,0.000261306762695312,0.0299475417177901,"Up",13415
"ASS1","ASS1",0.413270531283492,0.8,0.2,0.00638961791992188,0.107771555582682,"None",13414
"LMO7","LMO7",0.398954947385047,0.85,0.15,4.76837158203125e-05,0.018639871629618,"Up",13413
"PIM1","PIM1",0.391976282843915,0.9,0.1,2.6702880859375e-05,0.0170504252115885,"Up",13412
"FTL","FTL",0.385459948833439,0.95,0.05,8.20159912109375e-05,0.018639871629618,"Up",13411
"LCN2","LCN2",0.361095244029497,0.6,0.4,0.142906188964844,0.443879797968402,"None",13410
"WFDC2","WFDC2",0.360461739603015,0.6,0.4,0.0239505767822266,0.191733303924105,"None",13409
"ZBTB43","ZBTB43",0.353132519759342,0.9,0.1,0.000394821166992188,0.0348299804486726,"Up",13408
"KLF10","KLF10",0.348856456860138,0.8,0.2,0.000322341918945312,0.032744566599528,"Up",13407
"UGCG","UGCG",0.346927992961006,0.8,0.2,0.00315284729003906,0.0790215501161379,"None",13406
"PDK4","PDK4",0.346736696171091,0.8,0.2,0.00232505798339844,0.0686711508797129,"None",13405
"SH3BGRL3","SH3BGRL3",0.340964826700534,0.8,0.2,0.00271224975585938,0.0728697991183494,"None",13404
"SOX4","SOX4",0.337784462048696,0.7,0.3,0.0136165618896484,0.150896263122559,"None",13403
"S100P","S100P",0.333783287591231,0.9,0.1,0.000133514404296875,0.0232505798339844,"Up",13402
"IL32","IL32",0.32888691304465,0.75,0.25,3.62396240234375e-05,0.0179976710566768,"Up",13401
"HERPUD1","HERPUD1",0.327882008474018,0.9,0.1,8.20159912109375e-05,0.018639871629618,"Up",13400
"FAM102A","FAM102A",0.32763289750061,0.7,0.3,0.00729560852050781,0.113884533936542,"None",13399
"CST3","CST3",0.324466405899164,0.85,0.15,0.000394821166992188,0.0348299804486726,"Up",13398
"SPINK1","SPINK1",0.323039634478716,0.8,0.2,0.0192337036132812,0.17461390098205,"None",13397
